a,10
¹,1010
b,0111
c,0101
æ,01011
d,011
e,1
ê,11011
f,1101
g,001
h,1111
i,11
j,1000
k,010
l,1011
³,10110
m,00
ñ,00100
n,01
o,000
ó,0001
p,1001
q,0010
r,101
s,111
œ,1110111
t,0
u,110
v,1110
w,100
x,0110
y,0100
z,0011
Ÿ,00110
¿,001101
ch,0000
1,10000
2,11000
3,11100
4,11110
5,11111
6,01111
7,00111
8,00011
9,00001
0,00000
